step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,59.1916,16.8943,31.6768,1777468524.16
1,59.668,16.7594,31.4239,1777468524.22
2,60.6072,16.4997,30.9369,1777468524.281
3,59.3824,16.84,31.575,1777468524.34
4,59.9588,16.6781,31.2715,1777468524.4
5,60.1632,16.6214,31.1652,1777468524.46
6,59.8747,16.7016,31.3154,1777468524.52
7,58.9237,16.9711,31.8208,1777468524.579
8,59.6165,16.7739,31.451,1777468524.639
9,60.014,16.6628,31.2427,1777468524.699
10,58.416,17.1186,32.0974,1777468524.757
11,61.0563,16.3783,30.7094,1777468524.818
12,58.5615,17.0761,32.0176,1777468524.877
13,60.0879,16.6423,31.2043,1777468524.937
14,60.7044,16.4733,30.8874,1777468524.998
15,58.8282,16.9987,31.8725,1777468525.057
16,59.9084,16.6921,31.2978,1777468525.117
17,59.2473,16.8784,31.647,1777468525.176
18,60.4275,16.5488,31.0289,1777468525.236
19,58.4933,17.096,32.0549,1777468525.295
20,60.6608,16.4851,30.9096,1777468525.356
21,59.3351,16.8534,31.6002,1777468525.415
22,59.8165,16.7178,31.3459,1777468525.475
23,58.5776,17.0714,32.0088,1777468525.533
24,60.321,16.578,31.0837,1777468525.594
25,58.7512,17.0209,31.9142,1777468525.653
26,59.5326,16.7975,31.4953,1777468525.712
27,59.1376,16.9097,31.7057,1777468525.771
28,59.7519,16.7359,31.3797,1777468525.831
29,59.7694,16.731,31.3706,1777468525.891
30,59.6312,16.7697,31.4433,1777468525.951
31,59.1371,16.9099,31.706,1777468526.01
32,60.3037,16.5827,31.0926,1777468526.07
33,58.6534,17.0493,31.9675,1777468526.129
34,60.0884,16.6421,31.204,1777468526.189
35,59.1438,16.9079,31.7024,1777468526.248
36,59.364,16.8452,31.5848,1777468526.308
37,59.3676,16.8442,31.5829,1777468526.367
38,60.5374,16.5187,30.9726,1777468526.428
39,60.9778,16.3994,30.7489,1777468526.489
40,59.0801,16.9262,31.7366,1777468526.548
41,60.4341,16.5469,31.0255,1777468526.609
42,59.1262,16.913,31.7118,1777468526.668
43,59.4172,16.8302,31.5565,1777468526.727
44,58.8057,17.0052,31.8847,1777468526.786
45,60.0892,16.6419,31.2036,1777468526.846
46,58.9742,16.9566,31.7936,1777468526.905
47,60.2712,16.5917,31.1094,1777468526.965
48,58.6215,17.0586,31.9848,1777468527.024
49,60.3253,16.5768,31.0815,1777468527.084
50,58.8508,16.9921,31.8602,1777468527.143
51,61.3931,16.2885,30.5409,1777468527.205
52,58.6639,17.0463,31.9617,1777468527.263
53,60.5147,16.5249,30.9842,1777468527.324
54,59.4913,16.8092,31.5172,1777468527.384
55,59.3947,16.8365,31.5685,1777468527.443
56,59.2922,16.8656,31.6231,1777468527.502
57,60.2977,16.5844,31.0957,1777468527.563
58,61.027,16.3862,30.7241,1777468527.624
59,58.9822,16.9543,31.7892,1777468527.683
60,60.1152,16.6347,31.1901,1777468527.743
61,59.7623,16.733,31.3743,1777468527.803
62,60.917,16.4158,30.7796,1777468527.864
63,59.6563,16.7627,31.43,1777468527.923
64,59.3022,16.8628,31.6177,1777468527.983
65,60.4931,16.5308,30.9953,1777468528.043
66,59.359,16.8466,31.5874,1777468528.103
67,59.2746,16.8706,31.6324,1777468528.162
68,59.1397,16.9091,31.7046,1777468528.221
69,58.7391,17.0244,31.9208,1777468528.28
70,60.9226,16.4143,30.7768,1777468528.341
71,59.5325,16.7976,31.4954,1777468528.4
72,60.1095,16.6363,31.1931,1777468528.46
73,59.8698,16.7029,31.3179,1777468528.52
74,60.1798,16.6169,31.1566,1777468528.581
75,59.3462,16.8503,31.5943,1777468528.64
76,60.1493,16.6253,31.1724,1777468528.7
77,58.9193,16.9724,31.8232,1777468528.759
78,60.759,16.4585,30.8596,1777468528.82
79,58.467,17.1037,32.0694,1777468528.878
80,60.1803,16.6167,31.1564,1777468528.939
81,58.487,17.0978,32.0584,1777468528.997
82,61.4047,16.2854,30.5351,1777468529.059
83,58.8677,16.9872,31.8511,1777468529.117
84,59.8558,16.7068,31.3253,1777468529.177
85,58.3557,17.1363,32.1305,1777468529.236
86,60.1981,16.6118,31.1472,1777468529.296
87,59.8567,16.7066,31.3248,1777468529.356
88,59.8551,16.707,31.3257,1777468529.416
89,59.9823,16.6716,31.2592,1777468529.476
90,59.0529,16.934,31.7512,1777468529.535
91,60.7455,16.4621,30.8665,1777468529.596
92,59.3645,16.8451,31.5845,1777468529.655
93,59.6239,16.7718,31.4471,1777468529.715
94,60.3956,16.5575,31.0453,1777468529.775
95,58.8696,16.9867,31.85,1777468529.834
96,60.0452,16.6541,31.2265,1777468529.894
97,59.0028,16.9484,31.7782,1777468529.953
98,60.8588,16.4315,30.809,1777468530.014
99,60.6085,16.4993,30.9362,1777468530.075
