step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,62.0465,16.1169,30.2193,1777468554.338
1,63.7862,15.6774,29.3951,1777468554.402
2,62.0811,16.108,30.2025,1777468554.464
3,62.7122,15.9459,29.8985,1777468554.526
4,61.2847,16.3173,30.5949,1777468554.588
5,59.3254,16.8562,31.6053,1777468554.647
6,59.208,16.8896,31.668,1777468554.707
7,61.1419,16.3554,30.6664,1777468554.768
8,59.9743,16.6738,31.2634,1777468554.828
9,59.4877,16.8102,31.5191,1777468554.887
10,59.2122,16.8884,31.6658,1777468554.947
11,60.5035,16.528,30.9899,1777468555.007
12,61.3956,16.2878,30.5397,1777468555.069
13,59.8566,16.7066,31.3248,1777468555.128
14,62.2958,16.0524,30.0983,1777468555.191
15,63.6938,15.7001,29.4377,1777468555.254
16,62.2684,16.0595,30.1116,1777468555.317
17,62.7582,15.9342,29.8766,1777468555.38
18,61.5422,16.249,30.4669,1777468555.441
19,59.8756,16.7013,31.315,1777468555.501
20,59.5791,16.7844,31.4708,1777468555.561
21,61.0723,16.374,30.7013,1777468555.622
22,59.8629,16.7048,31.3215,1777468555.682
23,59.5748,16.7856,31.473,1777468555.742
24,61.153,16.3524,30.6608,1777468555.803
25,60.3808,16.5616,31.0529,1777468555.863
26,58.8763,16.9848,31.8465,1777468555.922
27,61.6235,16.2276,30.4267,1777468555.984
28,62.436,16.0164,30.0307,1777468556.046
29,62.7007,15.9488,29.904,1777468556.109
30,61.0655,16.3759,30.7047,1777468556.17
31,63.0057,15.8716,29.7592,1777468556.233
32,61.4792,16.2657,30.4981,1777468556.295
33,59.2121,16.8884,31.6658,1777468556.354
34,59.7001,16.7504,31.407,1777468556.414
35,60.2172,16.6065,31.1373,1777468556.474
36,61.0607,16.3771,30.7071,1777468556.535
37,59.8343,16.7128,31.3365,1777468556.595
38,59.6176,16.7736,31.4504,1777468556.654
39,60.0981,16.6394,31.199,1777468556.715
40,59.2751,16.8705,31.6322,1777468556.774
41,61.1034,16.3657,30.6857,1777468556.835
42,63.2133,15.8194,29.6615,1777468556.899
43,63.9207,15.6444,29.3332,1777468556.963
44,61.4057,16.2851,30.5346,1777468557.024
45,63.0546,15.8593,29.7361,1777468557.087
46,61.9594,16.1396,30.2617,1777468557.149
47,61.4165,16.2823,30.5292,1777468557.211
48,59.6265,16.7711,31.4457,1777468557.27
49,60.1967,16.6122,31.1479,1777468557.331
50,59.592,16.7808,31.4639,1777468557.39
51,61.2257,16.333,30.6244,1777468557.452
52,59.6872,16.754,31.4138,1777468557.511
53,59.9742,16.6738,31.2635,1777468557.571
54,60.9414,16.4092,30.7673,1777468557.632
55,63.1803,15.8277,29.677,1777468557.695
56,63.4631,15.7572,29.5447,1777468557.759
57,63.5188,15.7434,29.5188,1777468557.822
58,61.7503,16.1942,30.3642,1777468557.884
59,62.8728,15.9051,29.8221,1777468557.947
60,60.4053,16.5548,31.0403,1777468558.008
61,58.6149,17.0605,31.9884,1777468558.066
62,60.9899,16.3962,30.7428,1777468558.127
63,60.2146,16.6073,31.1386,1777468558.188
64,59.6403,16.7672,31.4385,1777468558.247
65,59.2054,16.8903,31.6694,1777468558.307
66,60.0919,16.6412,31.2022,1777468558.367
67,59.9027,16.6937,31.3007,1777468558.427
68,62.6786,15.9544,29.9145,1777468558.489
69,62.6519,15.9612,29.9272,1777468558.552
70,63.1343,15.8392,29.6986,1777468558.615
71,63.5107,15.7454,29.5226,1777468558.679
72,61.5816,16.2386,30.4474,1777468558.74
73,63.0286,15.8658,29.7484,1777468558.804
74,59.3022,16.8628,31.6177,1777468558.863
75,59.9922,16.6688,31.2541,1777468558.923
76,60.8215,16.4416,30.8279,1777468558.984
77,59.172,16.8999,31.6873,1777468559.043
78,60.3317,16.575,31.0782,1777468559.103
79,60.3994,16.5565,31.0434,1777468559.164
80,58.6831,17.0407,31.9513,1777468559.222
81,61.8917,16.1572,30.2948,1777468559.284
82,62.3322,16.0431,30.0808,1777468559.347
83,61.1514,16.3529,30.6616,1777468559.408
84,63.7666,15.6822,29.4041,1777468559.472
85,63.5724,15.7301,29.494,1777468559.535
86,62.4237,16.0196,30.0367,1777468559.598
87,62.5838,15.9786,29.9598,1777468559.66
88,60.9172,16.4157,30.7795,1777468559.721
89,62.9529,15.8849,29.7842,1777468559.784
90,61.7792,16.1867,30.35,1777468559.846
91,61.8772,16.161,30.3019,1777468559.909
92,62.9317,15.8902,29.7942,1777468559.972
93,61.7188,16.2025,30.3797,1777468560.034
94,60.9971,16.3942,30.7392,1777468560.095
95,60.9888,16.3965,30.7434,1777468560.156
96,62.8913,15.9005,29.8133,1777468560.219
97,62.7786,15.929,29.8669,1777468560.282
98,60.7488,16.4612,30.8648,1777468560.343
99,62.0314,16.1209,30.2266,1777468560.405
