step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,55.8176,17.9155,31.3521,1777467864.416
1,55.8438,17.9071,31.3374,1777467864.472
2,55.5306,18.0081,31.5141,1777467864.527
3,55.8734,17.8976,31.3208,1777467864.583
4,55.2745,18.0915,31.6602,1777467864.638
5,55.6263,17.9771,31.4599,1777467864.694
6,55.3964,18.0517,31.5905,1777467864.749
7,55.238,18.1035,31.6811,1777467864.805
8,55.6249,17.9776,31.4607,1777467864.86
9,55.8874,17.8931,31.313,1777467864.916
10,54.9343,18.2036,31.8563,1777467864.971
11,55.8661,17.8999,31.3249,1777467865.027
12,55.5277,18.009,31.5158,1777467865.083
13,55.4082,18.0479,31.5838,1777467865.138
14,55.055,18.1637,31.7864,1777467865.193
15,55.2374,18.1037,31.6814,1777467865.249
16,55.997,17.8581,31.2517,1777467865.305
17,55.7826,17.9267,31.3718,1777467865.36
18,55.6318,17.9753,31.4568,1777467865.416
19,55.4008,18.0503,31.588,1777467865.471
20,55.3767,18.0581,31.6017,1777467865.527
21,55.7167,17.9479,31.4089,1777467865.583
22,55.4199,18.044,31.5771,1777467865.638
23,55.5503,18.0017,31.503,1777467865.694
24,55.6437,17.9715,31.4501,1777467865.749
25,55.7064,17.9513,31.4147,1777467865.805
26,55.5019,18.0174,31.5305,1777467865.861
27,55.2316,18.1056,31.6848,1777467865.916
28,55.7405,17.9403,31.3955,1777467865.972
29,55.9966,17.8582,31.2519,1777467866.028
30,55.5664,17.9965,31.4939,1777467866.083
31,55.6949,17.955,31.4212,1777467866.139
32,55.8782,17.8961,31.3181,1777467866.195
33,55.7397,17.9405,31.3959,1777467866.251
34,55.396,18.0519,31.5907,1777467866.306
35,55.6332,17.9749,31.4561,1777467866.362
36,55.3852,18.0554,31.5969,1777467866.417
37,55.6469,17.9704,31.4483,1777467866.473
38,55.6497,17.9695,31.4467,1777467866.529
39,55.7929,17.9234,31.366,1777467866.584
40,55.5524,18.001,31.5018,1777467866.64
41,55.493,18.0203,31.5355,1777467866.696
42,55.5652,17.9969,31.4945,1777467866.751
43,55.6211,17.9788,31.4629,1777467866.807
44,56.1654,17.8046,31.158,1777467866.863
45,55.6168,17.9802,31.4653,1777467866.919
46,55.8892,17.8925,31.312,1777467866.975
47,56.2826,17.7675,31.0931,1777467867.031
48,55.4251,18.0424,31.5741,1777467867.087
49,55.4028,18.0496,31.5869,1777467867.142
50,56.146,17.8107,31.1687,1777467867.198
51,55.529,18.0086,31.5151,1777467867.254
52,55.7246,17.9454,31.4044,1777467867.309
53,55.8868,17.8933,31.3133,1777467867.365
54,55.4323,18.04,31.5701,1777467867.421
55,55.8151,17.9163,31.3535,1777467867.477
56,55.4854,18.0228,31.5398,1777467867.532
57,55.5036,18.0169,31.5295,1777467867.588
58,55.376,18.0584,31.6021,1777467867.643
59,55.5519,18.0012,31.5021,1777467867.699
60,55.5687,17.9957,31.4925,1777467867.754
61,55.4486,18.0347,31.5608,1777467867.81
62,57.59,17.3641,30.3872,1777467867.868
63,55.8473,17.906,31.3355,1777467867.923
64,55.1748,18.1242,31.7174,1777467867.979
65,55.3832,18.056,31.598,1777467868.034
66,55.3915,18.0533,31.5933,1777467868.089
67,55.3193,18.0769,31.6345,1777467868.145
68,55.4979,18.0187,31.5327,1777467868.2
69,55.4487,18.0347,31.5607,1777467868.256
70,55.7772,17.9285,31.3748,1777467868.312
71,55.6012,17.9852,31.4741,1777467868.367
72,55.2171,18.1103,31.6931,1777467868.423
73,55.8354,17.9098,31.3421,1777467868.478
74,55.5224,18.0108,31.5188,1777467868.534
75,55.6311,17.9756,31.4572,1777467868.59
76,55.3688,18.0607,31.6062,1777467868.645
77,55.2564,18.0974,31.6705,1777467868.7
78,55.4409,18.0372,31.5651,1777467868.756
79,55.4402,18.0375,31.5656,1777467868.811
80,55.469,18.0281,31.5491,1777467868.867
81,55.2335,18.1049,31.6836,1777467868.922
82,55.7171,17.9478,31.4087,1777467868.978
83,56.036,17.8457,31.2299,1777467869.034
84,56.0536,17.8401,31.2201,1777467869.09
85,55.719,17.9472,31.4076,1777467869.146
86,55.2197,18.1095,31.6916,1777467869.201
87,55.6072,17.9833,31.4707,1777467869.257
88,55.7121,17.9494,31.4115,1777467869.312
89,56.1589,17.8066,31.1616,1777467869.369
90,56.1132,17.8211,31.187,1777467869.425
91,55.1175,18.143,31.7503,1777467869.48
92,55.5288,18.0087,31.5152,1777467869.536
93,55.2651,18.0946,31.6656,1777467869.591
94,55.4544,18.0328,31.5575,1777467869.646
95,56.0513,17.8408,31.2214,1777467869.702
96,55.394,18.0525,31.5919,1777467869.758
97,55.7202,17.9468,31.4069,1777467869.814
98,55.5783,17.9926,31.4871,1777467869.869
99,55.5976,17.9864,31.4762,1777467869.925
