step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,63.2219,15.8173,30.646,1777468753.558
1,61.2845,16.3173,31.6148,1777468753.62
2,62.9612,15.8828,30.7729,1777468753.683
3,61.195,16.3412,31.6611,1777468753.744
4,63.6944,15.7,30.4187,1777468753.808
5,63.0402,15.8629,30.7344,1777468753.871
6,65.5496,15.2556,29.5578,1777468753.936
7,63.0893,15.8505,30.7104,1777468754.0
8,64.6212,15.4748,29.9824,1777468754.064
9,64.4278,15.5213,30.0724,1777468754.129
10,65.2545,15.3246,29.6914,1777468754.194
11,64.2929,15.5538,30.1355,1777468754.258
12,62.3838,16.0298,31.0578,1777468754.321
13,62.2649,16.0604,31.1171,1777468754.383
14,62.0645,16.1123,31.2175,1777468754.445
15,62.0477,16.1166,31.226,1777468754.507
16,62.2785,16.0569,31.1103,1777468754.569
17,62.7329,15.9406,30.8849,1777468754.632
18,61.582,16.2385,31.4621,1777468754.694
19,64.7721,15.4387,29.9126,1777468754.759
20,64.8076,15.4303,29.8962,1777468754.823
21,63.9148,15.6458,30.3138,1777468754.887
22,65.1889,15.34,29.7213,1777468754.953
23,64.721,15.4509,29.9362,1777468755.017
24,65.3455,15.3033,29.6501,1777468755.083
25,63.025,15.8667,30.7418,1777468755.146
26,62.3727,16.0327,31.0633,1777468755.208
27,62.323,16.0454,31.088,1777468755.271
28,62.1212,16.0976,31.189,1777468755.333
29,61.6471,16.2214,31.4289,1777468755.394
30,61.1782,16.3457,31.6698,1777468755.456
31,62.7792,15.9288,30.8621,1777468755.518
32,64.1495,15.5886,30.2029,1777468755.583
33,65.2788,15.3189,29.6804,1777468755.648
34,63.0505,15.8603,30.7293,1777468755.711
35,65.7395,15.2116,29.4724,1777468755.777
36,63.9996,15.6251,30.2736,1777468755.841
37,65.2945,15.3152,29.6733,1777468755.906
38,63.7413,15.6884,30.3963,1777468755.97
39,63.3121,15.7948,30.6024,1777468756.033
40,62.6112,15.9716,30.9449,1777468756.096
41,61.9811,16.134,31.2596,1777468756.158
42,62.7245,15.9427,30.8891,1777468756.221
43,61.4891,16.2631,31.5097,1777468756.283
44,62.4792,16.0053,31.0103,1777468756.345
45,64.3385,15.5428,30.1142,1777468756.409
46,65.6958,15.2217,29.492,1777468756.475
47,64.5086,15.5018,30.0348,1777468756.54
48,63.172,15.8298,30.6702,1777468756.603
49,65.09,15.3633,29.7665,1777468756.668
50,65.0015,15.3843,29.807,1777468756.733
51,64.923,15.4029,29.843,1777468756.798
52,63.4677,15.7561,30.5273,1777468756.862
53,61.8784,16.1607,31.3114,1777468756.923
54,62.6872,15.9522,30.9074,1777468756.986
55,62.6996,15.9491,30.9013,1777468757.049
56,62.2239,16.071,31.1376,1777468757.111
57,63.229,15.8155,30.6426,1777468757.174
58,62.3885,16.0286,31.0554,1777468757.237
59,65.4372,15.2818,29.6085,1777468757.302
60,65.306,15.3125,29.668,1777468757.368
61,62.2629,16.0609,31.118,1777468757.43
62,65.1485,15.3495,29.7397,1777468757.495
63,63.8773,15.655,30.3316,1777468757.559
64,65.8369,15.1891,29.4288,1777468757.625
65,63.1509,15.8351,30.6805,1777468757.688
66,62.8063,15.922,30.8488,1777468757.751
67,62.6616,15.9587,30.9201,1777468757.814
68,63.5478,15.7362,30.4888,1777468757.877
69,61.7182,16.2027,31.3927,1777468757.939
70,63.4267,15.7662,30.5471,1777468758.002
71,63.0112,15.8702,30.7485,1777468758.065
72,64.2502,15.5641,30.1555,1777468758.13
73,65.3706,15.2974,29.6387,1777468758.195
74,63.6974,15.6992,30.4173,1777468758.259
75,63.9387,15.64,30.3025,1777468758.323
76,63.7997,15.674,30.3685,1777468758.387
77,64.7044,15.4549,29.9439,1777468758.451
78,64.5883,15.4827,29.9977,1777468758.516
79,61.9899,16.1317,31.2551,1777468758.578
80,64.0134,15.6217,30.2671,1777468758.642
81,62.006,16.1275,31.247,1777468758.704
82,64.2529,15.5635,30.1543,1777468758.769
83,61.6826,16.212,31.4108,1777468758.83
84,63.1703,15.8302,30.6711,1777468758.894
85,63.1217,15.8424,30.6947,1777468758.957
86,65.6442,15.2336,29.5152,1777468759.022
87,66.7645,14.978,29.0199,1777468759.089
88,66.2643,15.0911,29.239,1777468759.155
89,65.2482,15.3261,29.6943,1777468759.221
90,65.8262,15.1915,29.4336,1777468759.287
91,64.745,15.4452,29.9251,1777468759.352
92,69.2192,14.4469,27.9908,1777468759.421
93,67.2558,14.8686,28.8079,1777468759.488
94,64.9414,15.3985,29.8346,1777468759.553
95,65.7567,15.2076,29.4647,1777468759.619
96,67.1051,14.902,28.8726,1777468759.686
97,68.7312,14.5494,28.1895,1777468759.755
98,67.0344,14.9177,28.9031,1777468759.822
99,66.2079,15.1039,29.2639,1777468759.888
