step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,31.8486,2.9634,2.593,1777521595.116
0,19.9674,4.7267,4.1359,1777521595.168
0,20.0574,4.7055,4.1173,1777521595.199
0,6.625,14.2461,12.4654,1777521595.219
0,12.0719,7.8181,6.8409,1777521595.243
0,29.8126,3.1658,2.7701,1777521595.29
0,17.7031,5.3313,4.6649,1777521595.324
0,13.1885,7.1562,6.2617,1777521595.351
0,18.9844,4.9714,4.35,1777521595.386
0,14.8174,6.3695,5.5733,1777521595.416
0,19.6723,4.7976,4.1979,1777521595.452
0,18.7386,5.0367,4.4071,1777521595.484
0,18.0735,5.222,4.5693,1777521595.516
0,4.9529,19.0554,16.6735,1777521595.535
0,11.014,8.5691,7.4979,1777521595.567
0,19.8435,4.7562,4.1617,1777521595.589
