step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
0,18.1746,5.3195,4.6546,1777503929.754,5.396,16
0,44.8533,2.2306,1.9517,1777503929.812,5.594,16
0,14.9936,5.3122,4.6482,1777503929.843,5.37,16
0,21.2623,4.4842,3.9237,1777503929.89,5.468,16
0,20.9248,4.5044,3.9414,1777503929.936,5.415,16
0,21.6181,4.6729,4.0888,1777503929.976,5.578,16
0,21.8736,4.3376,3.7954,1777503930.012,5.613,16
0,17.5201,5.5884,4.8899,1777503930.041,5.414,16
0,14.3006,6.7944,5.9451,1777503930.091,5.404,16
0,24.9956,4.0412,3.5361,1777503930.13,5.495,16
0,17.258,5.3879,4.7144,1777503930.161,5.432,16
0,10.6749,9.706,8.4928,1777503930.186,5.485,16
0,29.8449,3.054,2.6722,1777503930.232,5.465,16
0,6.1104,16.1036,14.0906,1777503930.25,5.537,16
0,22.3259,4.3669,3.8211,1777503930.288,5.543,16
0,18.8679,5.8592,5.1268,1777503930.308,5.459,16
0,154.6168,6.5169,5.7023,1777503930.458,5.419,16
1,13.1034,7.5576,6.6129,1777503936.12,5.613,16
1,24.7635,3.7766,3.3045,1777503936.184,5.416,16
1,13.9475,6.3205,5.5305,1777503936.224,5.565,16
1,87.6214,1.1412,0.9985,1777503936.378,5.554,16
1,24.9883,3.5758,3.1289,1777503936.436,5.523,16
1,60.9461,1.563,1.3677,1777503936.542,5.522,16
1,8.257,12.2272,10.6988,1777503936.604,5.522,16
1,22.8843,4.3483,3.8047,1777503936.684,5.507,16
1,36.5384,2.6428,2.3125,1777503936.773,5.563,16
1,11.006,7.5757,6.6287,1777503936.857,5.468,16
1,13.1345,6.9153,6.0509,1777503936.922,5.436,16
1,56.9111,1.6219,1.4192,1777503937.015,5.649,16
1,51.3015,1.7123,1.4983,1777503937.085,5.597,16
1,24.1013,3.3887,2.9651,1777503937.152,5.467,16
1,26.7243,3.5776,3.1304,1777503937.239,5.559,16
1,18.438,5.41,4.7337,1777503937.26,5.579,16
1,183.6341,5.562,4.8667,1777503937.439,5.454,16
2,10.6174,9.4994,8.3119,1777503938.164,5.481,16
2,23.0994,3.6689,3.2103,1777503938.198,5.387,16
2,16.4569,5.3132,4.649,1777503938.264,5.55,16
2,13.5542,7.0425,6.1622,1777503938.296,5.569,16
2,15.7857,5.7744,5.0526,1777503938.417,5.516,16
2,10.6777,9.2814,8.1212,1777503938.458,5.469,16
2,20.5347,4.764,4.1685,1777503938.512,5.434,16
2,95.984,0.9548,0.8354,1777503938.668,5.462,16
2,15.6989,5.4368,4.7572,1777503938.72,5.549,16
2,20.8285,4.3611,3.816,1777503938.773,5.501,16
2,70.5022,1.3902,1.2164,1777503938.898,5.545,16
2,15.0153,6.6202,5.7927,1777503938.957,5.49,16
2,31.9293,2.8558,2.4989,1777503939.059,5.492,16
2,41.4998,1.9672,1.7213,1777503939.119,5.355,16
2,13.5742,6.2172,5.44,1777503939.2,5.4,16
2,43.1228,2.2586,1.9763,1777503939.262,5.409,16
2,208.0014,4.8985,4.2862,1777503939.464,5.63,16
3,10.7157,8.5566,7.487,1777503940.19,5.574,16
3,13.4627,6.4869,5.676,1777503940.255,5.479,16
3,11.2367,7.761,6.7908,1777503940.303,5.466,16
3,20.7159,4.8622,4.2545,1777503940.364,5.327,16
3,14.5616,6.7067,5.8684,1777503940.45,5.524,16
3,23.9311,3.7563,3.2868,1777503940.493,5.355,16
3,18.3067,5.1852,4.5371,1777503940.558,5.447,16
3,20.0297,4.7997,4.1997,1777503940.644,5.502,16
3,47.528,2.2402,1.9602,1777503940.705,5.476,16
3,24.5633,3.5277,3.0867,1777503940.831,5.518,16
3,36.6962,2.6172,2.2901,1777503940.876,5.636,16
3,36.4701,2.7608,2.4157,1777503940.989,5.536,16
3,35.7343,2.9503,2.5815,1777503941.115,5.381,16
3,20.7838,4.3086,3.77,1777503941.156,5.407,16
3,18.4885,4.9456,4.3274,1777503941.258,5.362,16
3,47.3891,2.0928,1.8312,1777503941.371,5.478,16
3,180.996,5.1219,4.4817,1777503941.547,5.398,16
4,13.8072,7.007,6.1311,1777503942.324,5.584,16
4,23.0909,4.7402,4.1477,1777503942.386,5.791,16
4,83.971,1.1612,1.0161,1777503942.499,5.401,16
4,32.8432,2.3835,2.0856,1777503942.579,5.527,16
4,24.56,3.5929,3.1438,1777503942.652,5.458,16
4,57.8333,1.552,1.358,1777503942.744,5.486,16
4,53.2611,1.9232,1.6828,1777503942.812,5.516,16
4,16.0318,5.8124,5.0858,1777503942.857,5.396,16
4,17.7706,4.5995,4.0245,1777503942.904,5.451,16
4,20.2822,4.6333,4.0541,1777503942.997,5.677,16
4,32.6783,2.9183,2.5535,1777503943.1,5.598,16
4,21.4475,4.2248,3.6967,1777503943.161,5.382,16
4,51.5693,1.6888,1.4777,1777503943.248,5.427,16
4,19.5772,5.6418,4.9366,1777503943.346,5.418,16
4,21.5725,4.6685,4.0849,1777503943.407,5.41,16
4,26.6443,3.8062,3.3304,1777503943.435,5.538,16
4,199.5567,5.199,4.5492,1777503943.629,5.496,16
5,20.0083,4.47,3.9112,1777503944.407,5.545,16
5,25.0461,3.6311,3.1772,1777503944.469,5.377,16
5,20.3875,4.156,3.6365,1777503944.516,5.517,16
5,49.8457,2.1326,1.866,1777503944.632,5.516,16
5,17.6408,5.2993,4.6369,1777503944.684,5.529,16
5,22.3347,4.6672,4.0838,1777503944.752,5.522,16
5,57.9858,1.5742,1.3774,1777503944.856,5.611,16
5,16.6021,5.8798,5.1448,1777503944.936,5.654,16
5,50.2635,1.9052,1.667,1777503945.036,5.378,16
5,18.2945,4.5943,4.02,1777503945.132,5.665,16
5,21.3463,5.0311,4.4022,1777503945.212,5.482,16
5,55.9845,1.6342,1.4299,1777503945.292,5.646,16
5,29.2932,2.9365,2.5695,1777503945.38,5.411,16
5,17.4577,5.6845,4.9739,1777503945.425,5.461,16
5,18.4552,5.1119,4.4729,1777503945.487,5.484,16
5,59.8417,1.6198,1.4173,1777503945.547,5.641,16
5,209.948,5.0407,4.4107,1777503945.751,5.564,16
6,34.6063,2.28,1.995,1777503946.47,5.495,16
6,17.075,5.1545,4.5102,1777503946.499,5.378,16
6,21.3771,4.1049,3.5918,1777503946.542,5.467,16
6,16.7181,6.059,5.3016,1777503946.642,5.367,16
6,44.3176,2.1349,1.868,1777503946.72,5.452,16
6,20.3884,4.5078,3.9443,1777503946.78,5.6,16
6,19.6739,5.0037,4.3783,1777503946.828,5.634,16
6,12.4085,7.5121,6.5731,1777503946.876,5.43,16
6,43.9748,2.1078,1.8444,1777503947.009,5.524,16
6,20.4094,4.6896,4.1034,1777503947.072,5.392,16
6,22.5766,4.2107,3.6843,1777503947.115,5.523,16
6,49.5301,2.2893,2.0031,1777503947.182,5.688,16
6,19.679,4.4686,3.91,1777503947.272,5.471,16
6,21.804,3.8218,3.3441,1777503947.324,5.441,16
6,24.7198,3.9144,3.4251,1777503947.415,5.621,16
6,50.9202,1.7454,1.5272,1777503947.467,5.435,16
6,136.1074,6.3934,5.5942,1777503947.6,5.484,16
7,28.071,3.0764,2.6919,1777503948.362,5.447,16
7,30.6881,2.8597,2.5023,1777503948.424,5.491,16
7,8.868,9.1462,8.0029,1777503948.468,5.353,16
7,50.8572,2.1719,1.9004,1777503948.583,5.371,16
7,17.9143,4.8061,4.2054,1777503948.632,5.684,16
7,18.3788,6.3288,5.5377,1777503948.729,5.383,16
7,48.0228,1.9074,1.669,1777503948.804,5.534,16
7,45.0176,2.3865,2.0882,1777503948.87,5.401,16
7,16.6682,5.5512,4.8573,1777503948.929,5.578,16
7,16.889,5.7826,5.0598,1777503948.996,5.462,16
7,49.1116,1.9012,1.6635,1777503949.104,5.363,16
7,20.8154,4.4478,3.8918,1777503949.18,5.473,16
7,16.4743,5.8353,5.1059,1777503949.216,5.444,16
7,66.1114,1.4815,1.2963,1777503949.35,5.601,16
7,12.944,7.3822,6.4594,1777503949.402,5.535,16
7,45.1399,2.0998,1.8373,1777503949.448,5.5,16
7,226.9567,4.3622,3.8169,1777503949.668,5.532,16
8,12.7057,7.3703,6.449,1777503950.449,5.709,16
8,11.4857,9.2514,8.095,1777503950.506,5.539,16
8,24.4328,3.627,3.1737,1777503950.603,5.389,16
8,12.0116,8.6062,7.5304,1777503950.679,5.526,16
8,15.4325,6.3506,5.5568,1777503950.736,5.326,16
8,21.5485,4.7049,4.1168,1777503950.828,5.545,16
8,124.7274,0.6895,0.6033,1777503950.96,5.453,16
8,15.3447,6.2805,5.4954,1777503951.001,5.505,16
8,58.371,1.5791,1.3817,1777503951.124,5.49,16
8,30.2288,3.0593,2.6769,1777503951.22,5.515,16
8,13.9596,7.5568,6.6122,1777503951.279,5.243,16
8,55.3742,1.6721,1.4631,1777503951.377,5.518,16
8,25.578,3.7772,3.3051,1777503951.464,5.463,16
8,16.4052,4.9446,4.3265,1777503951.514,5.533,16
8,12.4854,8.6038,7.5283,1777503951.618,5.347,16
8,14.6514,6.8869,6.026,1777503951.637,5.467,16
8,204.4781,5.1131,4.474,1777503951.835,5.395,16
9,18.0105,5.1,4.4625,1777503952.596,5.63,16
9,24.3653,4.0541,3.5473,1777503952.652,5.673,16
9,20.2385,5.1027,4.4648,1777503952.705,5.544,16
9,49.9243,2.1542,1.8849,1777503952.828,5.544,16
9,18.0967,5.5608,4.8657,1777503952.862,5.47,16
9,11.5042,8.2476,7.2167,1777503952.919,5.43,16
9,65.8827,1.5459,1.3527,1777503953.016,5.382,16
9,12.8411,7.8099,6.8336,1777503953.095,5.481,16
9,15.9901,6.4555,5.6486,1777503953.153,5.575,16
9,24.9456,4.3345,3.7927,1777503953.212,5.573,16
9,48.9457,1.6858,1.475,1777503953.315,5.493,16
9,15.0925,5.6671,4.9587,1777503953.366,5.448,16
9,28.4311,3.7209,3.2558,1777503953.432,5.564,16
9,72.0424,1.2368,1.0822,1777503953.509,5.399,16
9,17.6667,5.3563,4.6868,1777503953.608,5.378,16
9,17.0983,5.2234,4.5705,1777503953.655,5.531,16
9,236.9236,4.8445,4.2389,1777503953.884,5.561,16
10,22.7618,3.3864,2.9631,1777503954.875,5.53,16
10,26.9939,3.5165,3.0769,1777503954.936,5.541,16
10,24.3773,4.3723,3.8257,1777503955.0,5.294,16
10,32.9493,2.729,2.3879,1777503955.108,5.559,16
10,17.1217,4.8149,4.213,1777503955.183,5.648,16
10,29.0425,3.3455,2.9273,1777503955.232,5.585,16
10,20.3198,4.4326,3.8785,1777503955.31,5.581,16
10,50.2232,2.0398,1.7849,1777503955.384,5.523,16
10,28.8119,3.3371,2.92,1777503955.444,5.527,16
10,16.4077,5.3548,4.6855,1777503955.496,5.485,16
