step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,55.7044,17.9519,31.4158,1777467891.04
1,55.7034,17.9522,31.4164,1777467891.095
2,55.6924,17.9558,31.4226,1777467891.151
3,55.6556,17.9676,31.4434,1777467891.207
4,55.4924,18.0205,31.5358,1777467891.262
5,56.0078,17.8546,31.2456,1777467891.318
6,56.1802,17.7999,31.1498,1777467891.375
7,56.0319,17.847,31.2322,1777467891.431
8,55.7484,17.9377,31.391,1777467891.487
9,57.6537,17.3449,30.3536,1777467891.544
10,59.3745,16.8422,29.4739,1777467891.604
11,58.3194,17.147,30.0072,1777467891.662
12,56.6197,17.6617,30.908,1777467891.719
13,55.8174,17.9156,31.3522,1777467891.775
14,55.7362,17.9417,31.3979,1777467891.83
15,55.4699,18.0278,31.5486,1777467891.886
16,55.9452,17.8746,31.2806,1777467891.942
17,55.8295,17.9117,31.3455,1777467891.998
18,55.4855,18.0227,31.5398,1777467892.053
19,55.654,17.9682,31.4443,1777467892.109
20,55.4207,18.0438,31.5766,1777467892.164
21,55.4191,18.0443,31.5775,1777467892.22
22,55.4194,18.0442,31.5774,1777467892.276
23,55.4599,18.0311,31.5543,1777467892.331
24,56.8567,17.5881,30.7791,1777467892.388
25,59.5002,16.8067,29.4117,1777467892.448
26,58.9008,16.9777,29.711,1777467892.506
27,57.1602,17.4947,30.6157,1777467892.564
28,55.6252,17.9774,31.4605,1777467892.619
29,55.547,18.0028,31.5048,1777467892.675
30,55.5014,18.0176,31.5307,1777467892.73
31,55.4414,18.037,31.5648,1777467892.786
32,55.7298,17.9437,31.4015,1777467892.842
33,55.2849,18.0881,31.6542,1777467892.897
34,55.4617,18.0305,31.5533,1777467892.952
35,56.3626,17.7423,31.049,1777467893.009
36,55.5563,17.9998,31.4996,1777467893.064
37,55.6346,17.9744,31.4553,1777467893.12
38,55.3758,18.0584,31.6022,1777467893.176
39,56.9796,17.5501,30.7127,1777467893.233
40,59.4793,16.8126,29.422,1777467893.292
41,58.852,16.9918,29.7356,1777467893.351
42,57.2799,17.4581,30.5517,1777467893.409
43,56.2885,17.7656,31.0898,1777467893.465
44,56.1628,17.8054,31.1594,1777467893.521
45,56.0653,17.8363,31.2136,1777467893.577
46,55.8636,17.9007,31.3263,1777467893.633
47,55.5701,17.9953,31.4917,1777467893.689
48,55.5554,18.0001,31.5001,1777467893.744
49,55.7394,17.9406,31.3961,1777467893.8
50,56.0804,17.8316,31.2052,1777467893.856
51,56.014,17.8527,31.2422,1777467893.912
52,55.1691,18.1261,31.7207,1777467893.968
53,55.9875,17.8611,31.257,1777467894.024
54,55.9165,17.8838,31.2966,1777467894.08
55,59.8904,16.6972,29.2201,1777467894.14
56,58.8523,16.9917,29.7355,1777467894.198
57,57.414,17.4174,30.4804,1777467894.256
58,55.532,18.0076,31.5134,1777467894.311
59,55.8979,17.8898,31.3071,1777467894.367
60,55.8485,17.9056,31.3348,1777467894.423
61,55.6857,17.9579,31.4264,1777467894.479
62,55.9595,17.8701,31.2726,1777467894.535
63,55.3666,18.0614,31.6075,1777467894.59
64,55.5381,18.0057,31.5099,1777467894.646
65,55.4466,18.0354,31.5619,1777467894.701
66,55.6385,17.9732,31.453,1777467894.757
67,55.4656,18.0292,31.5511,1777467894.813
68,55.8627,17.901,31.3268,1777467894.869
69,55.7707,17.9306,31.3785,1777467894.924
70,59.0404,16.9375,29.6407,1777467894.983
71,58.6613,17.047,29.8323,1777467895.042
72,57.5944,17.3628,30.3849,1777467895.1
73,55.9787,17.8639,31.2619,1777467895.156
74,55.7731,17.9298,31.3771,1777467895.212
75,56.0861,17.8297,31.202,1777467895.268
76,55.6813,17.9593,31.4288,1777467895.323
77,55.473,18.0268,31.5469,1777467895.379
78,55.8532,17.9041,31.3321,1777467895.435
79,56.3448,17.7479,31.0588,1777467895.491
80,55.7833,17.9265,31.3714,1777467895.547
81,55.4559,18.0324,31.5566,1777467895.602
82,55.5691,17.9956,31.4923,1777467895.658
83,55.8885,17.8928,31.3123,1777467895.714
84,56.0943,17.8271,31.1974,1777467895.77
85,59.2992,16.8636,29.5114,1777467895.829
86,58.6893,17.0389,29.818,1777467895.888
87,57.6161,17.3563,30.3735,1777467895.946
88,55.8177,17.9155,31.3521,1777467896.002
89,55.9922,17.8596,31.2544,1777467896.058
90,55.2671,18.094,31.6644,1777467896.113
91,55.2067,18.1137,31.6991,1777467896.168
92,55.4687,18.0282,31.5493,1777467896.224
93,55.4595,18.0312,31.5545,1777467896.279
94,55.3462,18.0681,31.6191,1777467896.335
95,55.6984,17.9538,31.4192,1777467896.391
96,55.7733,17.9297,31.377,1777467896.446
97,56.1965,17.7947,31.1407,1777467896.503
98,55.9832,17.8625,31.2594,1777467896.559
99,55.9914,17.8599,31.2548,1777467896.615
