step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,1.8446,135.5302,203.2952,1777440162.885
1,5.3749,46.5121,69.7682,1777440162.891
2,1.839,135.9429,203.9143,1777440162.893
3,1.8404,135.8436,203.7654,1777440162.894
4,1.8436,135.6054,203.4082,1777440162.896
5,1.8489,135.2158,202.8237,1777440162.898
6,1.8465,135.3892,203.0838,1777440162.9
7,1.838,136.0162,204.0243,1777440162.902
8,1.8414,135.7657,203.6485,1777440162.904
9,1.8453,135.4761,203.2141,1777440162.906
10,1.8517,135.0079,202.5118,1777440162.908
11,1.85,135.134,202.7009,1777440162.909
12,1.8501,135.1246,202.6869,1777440162.911
13,1.8585,134.5174,201.7761,1777440162.913
14,1.8415,135.7586,203.6379,1777440162.915
15,1.8405,135.8318,203.7476,1777440162.917
16,1.8462,135.415,203.1226,1777440162.919
17,1.8376,136.047,204.0705,1777440162.921
18,6.1697,40.5204,60.7806,1777440162.927
19,4.0953,61.0452,91.5678,1777440162.931
