step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
0,19.7595,4.7764,4.1794,1777503673.812,5.5,0
0,20.5308,4.597,4.0224,1777503673.864,5.5,0
0,18.9541,4.9794,4.357,1777503673.896,5.5,0
0,18.1801,5.1914,4.5425,1777503673.947,5.5,0
0,18.7208,5.0415,4.4113,1777503673.991,5.5,0
0,15.6068,6.0474,5.2915,1777503674.02,5.5,0
0,15.9929,5.9014,5.1637,1777503674.055,5.5,0
0,17.9908,5.246,4.5903,1777503674.088,5.5,0
0,20.3173,4.6453,4.0646,1777503674.121,5.5,0
0,15.1318,6.2372,5.4575,1777503674.159,5.5,0
0,17.4399,5.4117,4.7353,1777503674.192,5.5,0
0,16.3019,5.7895,5.0658,1777503674.226,5.5,0
0,17.4987,5.3936,4.7194,1777503674.264,5.5,0
0,22.3493,4.223,3.6951,1777503674.307,5.5,0
0,18.5313,5.093,4.4564,1777503674.34,5.5,0
0,5.1078,18.4776,16.1679,1777503674.347,5.5,0
0,179.3349,5.8587,5.1264,1777503674.528,5.5,0
1,20.0555,4.7059,4.1177,1777503684.178,5.5,0
1,19.257,4.9011,4.2884,1777503684.212,5.5,0
1,19.7578,4.7769,4.1798,1777503684.254,5.5,0
1,19.7375,4.7818,4.184,1777503684.304,5.5,0
1,21.7868,4.332,3.7905,1777503684.356,5.5,0
1,19.0917,4.9435,4.3256,1777503684.39,5.5,0
1,5.0453,18.7064,16.3681,1777503684.408,5.5,0
1,17.3898,5.4273,4.7489,1777503684.444,5.5,0
1,19.8772,4.7481,4.1546,1777503684.48,5.5,0
1,3.8504,24.5117,21.4478,1777503684.501,5.5,0
1,20.578,4.5864,4.0131,1777503684.552,5.5,0
1,10.6192,8.8877,7.7767,1777503684.596,5.5,0
1,15.2606,6.1846,5.4115,1777503684.623,5.5,0
1,19.8518,4.7542,4.1599,1777503684.668,5.5,0
1,19.8776,4.7481,4.1546,1777503684.72,5.5,0
1,15.5655,6.0634,5.3055,1777503684.737,5.5,0
1,161.267,6.5151,5.7007,1777503684.901,5.5,0
2,23.7923,3.9668,3.471,1777503685.62,5.5,0
2,21.4654,4.3968,3.8472,1777503685.654,5.5,0
2,37.9332,2.4881,2.1771,1777503685.714,5.5,0
2,32.6867,2.8874,2.5265,1777503685.76,5.5,0
2,19.9104,4.7402,4.1477,1777503685.812,5.5,0
2,15.7822,5.9802,5.2326,1777503685.844,5.5,0
2,27.3665,3.4487,3.0176,1777503685.884,5.5,0
2,23.4973,4.0166,3.5146,1777503685.928,5.5,0
2,16.7877,5.622,4.9192,1777503685.952,5.5,0
2,3.7628,25.0825,21.9472,1777503685.976,5.5,0
2,12.8095,7.368,6.447,1777503686.016,5.5,0
2,31.0672,3.0379,2.6582,1777503686.06,5.5,0
2,20.9069,4.5143,3.95,1777503686.108,5.5,0
2,14.4225,6.544,5.726,1777503686.142,5.5,0
2,21.3995,4.4104,3.8591,1777503686.182,5.5,0
2,15.8733,5.9458,5.2026,1777503686.2,5.5,0
2,197.699,5.3145,4.6502,1777503686.4,5.5,0
3,27.2948,3.4578,3.0256,1777503686.994,5.5,0
3,4.0237,23.4561,20.5241,1777503687.013,5.5,0
3,13.802,6.8381,5.9834,1777503687.065,5.5,0
3,18.1085,5.2119,4.5604,1777503687.102,5.5,0
3,20.5461,4.5936,4.0194,1777503687.145,5.5,0
3,24.8809,3.7933,3.3191,1777503687.192,5.5,0
3,28.551,3.3057,2.8925,1777503687.235,5.5,0
3,17.618,5.357,4.6874,1777503687.276,5.5,0
3,18.4402,5.1182,4.4784,1777503687.307,5.5,0
3,3.8758,24.3511,21.3072,1777503687.327,5.5,0
3,17.5821,5.368,4.697,1777503687.372,5.5,0
3,15.9262,5.9261,5.1853,1777503687.417,5.5,0
3,18.2436,5.1733,4.5267,1777503687.452,5.5,0
3,11.0326,8.5546,7.4853,1777503687.476,5.5,0
3,27.2333,3.4656,3.0324,1777503687.524,5.5,0
3,15.7121,6.0069,5.256,1777503687.542,5.5,0
3,176.4881,5.9532,5.2091,1777503687.72,5.5,0
4,21.1435,4.4638,3.9058,1777503688.368,5.5,0
4,26.3053,3.5879,3.1394,1777503688.406,5.5,0
4,13.755,6.8615,6.0038,1777503688.438,5.5,0
4,12.8231,7.3602,6.4401,1777503688.457,5.5,0
4,20.5557,4.5914,4.0175,1777503688.494,5.5,0
4,4.3217,21.8388,19.109,1777503688.512,5.5,0
4,18.9375,4.9838,4.3608,1777503688.551,5.5,0
4,19.9265,4.7364,4.1444,1777503688.584,5.5,0
4,13.6372,6.9208,6.0557,1777503688.612,5.5,0
4,14.8243,6.3666,5.5708,1777503688.651,5.5,0
4,3.8744,24.3597,21.3147,1777503688.668,5.5,0
4,15.9972,5.8998,5.1623,1777503688.698,5.5,0
4,4.8771,19.3516,16.9326,1777503688.717,5.5,0
4,4.1269,22.8694,20.0107,1777503688.737,5.5,0
4,39.4874,2.3901,2.0914,1777503688.808,5.5,0
4,8.3115,11.3553,9.9359,1777503688.818,5.5,0
4,117.402,8.9494,7.8307,1777503688.937,5.5,0
5,14.599,6.4648,5.6567,1777503689.542,5.5,0
5,22.904,4.1207,3.6056,1777503689.579,5.5,0
5,20.1056,4.6942,4.1074,1777503689.616,5.5,0
5,19.8161,4.7628,4.1675,1777503689.652,5.5,0
5,18.9047,4.9924,4.3684,1777503689.686,5.5,0
5,13.6954,6.8914,6.0299,1777503689.712,5.5,0
5,30.0224,3.1437,2.7507,1777503689.754,5.5,0
5,4.4666,21.1302,18.4889,1777503689.773,5.5,0
5,23.1043,4.085,3.5743,1777503689.816,5.5,0
