step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
0,17.8037,5.6924,4.9808,1777503929.754,5.566,64
0,43.938,2.4774,2.1677,1777503929.812,5.424,64
0,14.6877,5.7169,5.0023,1777503929.843,5.401,64
0,20.8284,4.7707,4.1744,1777503929.89,5.55,64
0,20.4978,4.6421,4.0618,1777503929.936,5.388,64
0,21.1769,4.7302,4.1389,1777503929.976,5.378,64
0,21.4272,4.8131,4.2115,1777503930.012,5.786,64
0,17.1626,5.6604,4.9528,1777503930.041,5.558,64
0,14.0088,6.4716,5.6626,1777503930.091,5.319,64
0,24.4855,3.6687,3.2101,1777503930.13,5.391,64
0,16.9058,4.9364,4.3194,1777503930.161,5.672,64
0,10.457,9.2225,8.0697,1777503930.186,5.538,64
0,29.2358,3.1484,2.7549,1777503930.232,5.483,64
0,5.9857,16.9843,14.8613,1777503930.25,5.497,64
0,21.8703,4.4986,3.9363,1777503930.288,5.48,64
0,18.4829,4.9666,4.3458,1777503930.308,5.359,64
0,151.4613,5.8394,5.1094,1777503930.458,5.474,64
1,12.836,7.386,6.4627,1777503936.12,5.371,64
1,24.2582,3.88,3.395,1777503936.184,5.505,64
1,13.6629,5.7164,5.0018,1777503936.224,5.408,64
1,85.8332,1.1354,0.9935,1777503936.378,5.539,64
1,24.4784,3.4998,3.0623,1777503936.436,5.516,64
1,59.7023,1.7101,1.4964,1777503936.542,5.578,64
1,8.0885,11.5795,10.1321,1777503936.604,5.453,64
1,22.4172,3.9982,3.4984,1777503936.684,5.547,64
1,35.7928,2.678,2.3433,1777503936.773,5.563,64
1,10.7814,8.8463,7.7405,1777503936.857,5.582,64
1,12.8664,7.3909,6.467,1777503936.922,5.578,64
1,55.7497,1.8109,1.5845,1777503937.015,5.42,64
1,50.2545,1.6064,1.4056,1777503937.085,5.654,64
1,23.6094,4.0796,3.5696,1777503937.152,5.329,64
1,26.1789,3.3993,2.9744,1777503937.239,5.577,64
1,18.0617,5.1084,4.4699,1777503937.26,5.449,64
1,179.8864,6.4954,5.6835,1777503937.439,5.395,64
2,10.4007,8.495,7.4331,1777503938.164,5.521,64
2,22.628,4.3013,3.7636,1777503938.198,5.55,64
2,16.121,6.2813,5.4961,1777503938.264,5.52,64
2,13.2776,7.3865,6.4632,1777503938.296,5.474,64
2,15.4636,6.134,5.3672,1777503938.417,5.511,64
2,10.4598,9.1784,8.0311,1777503938.458,5.577,64
2,20.1156,4.9002,4.2877,1777503938.512,5.504,64
2,94.0251,0.9388,0.8215,1777503938.668,5.507,64
2,15.3785,6.1234,5.358,1777503938.72,5.519,64
2,20.4035,5.4422,4.762,1777503938.773,5.448,64
2,69.0634,1.4128,1.2362,1777503938.898,5.607,64
2,14.7089,6.4669,5.6585,1777503938.957,5.734,64
2,31.2777,2.9263,2.5605,1777503939.059,5.532,64
2,40.6529,2.1733,1.9016,1777503939.119,5.465,64
2,13.2971,7.2391,6.3342,1777503939.2,5.585,64
2,42.2428,2.2912,2.0048,1777503939.262,5.626,64
2,203.7564,5.1174,4.4777,1777503939.464,5.467,64
3,10.497,10.9361,9.569,1777503940.19,5.539,64
3,13.188,6.7446,5.9015,1777503940.255,5.431,64
3,11.0073,7.9277,6.9367,1777503940.303,5.594,64
3,20.2932,4.5153,3.9509,1777503940.364,5.513,64
3,14.2644,6.5829,5.76,1777503940.45,5.573,64
3,23.4428,3.7532,3.2841,1777503940.493,5.392,64
3,17.9331,5.3573,4.6877,1777503940.558,5.56,64
3,19.6209,4.9381,4.3208,1777503940.644,5.419,64
3,46.5581,2.137,1.8699,1777503940.705,5.426,64
3,24.062,3.7587,3.2889,1777503940.831,5.406,64
3,35.9473,2.8988,2.5365,1777503940.876,5.563,64
3,35.7258,2.7696,2.4234,1777503940.989,5.625,64
3,35.005,3.3028,2.89,1777503941.115,5.329,64
3,20.3596,4.3618,3.8165,1777503941.156,5.438,64
3,18.1112,4.8565,4.2494,1777503941.258,5.392,64
3,46.4219,1.9844,1.7363,1777503941.371,5.378,64
3,177.3022,6.0847,5.3241,1777503941.547,5.505,64
4,13.5254,7.2465,6.3407,1777503942.324,5.551,64
4,22.6197,4.3737,3.827,1777503942.386,5.463,64
4,82.2573,1.3421,1.1743,1777503942.499,5.523,64
4,32.173,2.4964,2.1844,1777503942.579,5.4,64
4,24.0588,3.3766,2.9545,1777503942.652,5.502,64
4,56.6531,1.6497,1.4435,1777503942.744,5.453,64
4,52.1742,2.1,1.8375,1777503942.812,5.555,64
4,15.7046,6.3588,5.564,1777503942.857,5.407,64
4,17.408,4.9883,4.3648,1777503942.904,5.504,64
4,19.8683,4.816,4.214,1777503942.997,5.314,64
4,32.0114,2.9058,2.5426,1777503943.1,5.501,64
4,21.0098,4.4149,3.863,1777503943.161,5.419,64
4,50.5168,1.7876,1.5642,1777503943.248,5.482,64
4,19.1777,4.9571,4.3375,1777503943.346,5.56,64
4,21.1322,4.8523,4.2458,1777503943.407,5.471,64
4,26.1005,3.484,3.0485,1777503943.435,5.544,64
4,195.4841,5.6374,4.9327,1777503943.629,5.457,64
5,19.6,5.1198,4.4798,1777503944.407,5.598,64
5,24.535,4.2443,3.7138,1777503944.469,5.678,64
5,19.9714,4.3982,3.8484,1777503944.516,5.501,64
5,48.8285,1.9346,1.6928,1777503944.632,5.49,64
5,17.2808,5.1779,4.5306,1777503944.684,5.351,64
