step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
0,17.6238,5.1091,4.4705,1777503929.754,5.658,128
0,43.4941,1.9693,1.7231,1777503929.812,5.571,128
0,14.5393,7.627,6.6736,1777503929.843,5.608,128
0,20.618,4.566,3.9953,1777503929.89,5.387,128
0,20.2907,4.1446,3.6265,1777503929.936,5.459,128
0,20.963,4.2548,3.7229,1777503929.976,5.428,128
0,21.2108,4.3335,3.7918,1777503930.012,5.49,128
0,16.9892,5.7709,5.0496,1777503930.041,5.376,128
0,13.8673,6.4345,5.6302,1777503930.091,5.484,128
0,24.2382,3.833,3.3539,1777503930.13,5.684,128
0,16.7351,5.7444,5.0264,1777503930.161,5.339,128
0,10.3514,9.4226,8.2448,1777503930.186,5.555,128
0,28.9405,3.2285,2.8249,1777503930.232,5.379,128
0,5.9253,18.1688,15.8977,1777503930.25,5.393,128
0,21.6494,4.5899,4.0162,1777503930.288,5.52,128
0,18.2962,5.4064,4.7306,1777503930.308,5.671,128
0,149.9314,7.3226,6.4073,1777503930.458,5.444,128
1,12.7064,8.085,7.0744,1777503936.12,5.437,128
1,24.0131,3.9818,3.4841,1777503936.184,5.371,128
1,13.5248,6.4015,5.6013,1777503936.224,5.505,128
1,84.9662,1.1435,1.0006,1777503936.378,5.33,128
1,24.2311,4.0499,3.5437,1777503936.436,5.418,128
1,59.0993,1.7605,1.5404,1777503936.542,5.465,128
1,8.0068,10.728,9.387,1777503936.604,5.508,128
1,22.1908,3.9414,3.4487,1777503936.684,5.627,128
1,35.4312,2.6639,2.3309,1777503936.773,5.485,128
1,10.6725,9.262,8.1042,1777503936.857,5.4,128
1,12.7365,6.646,5.8153,1777503936.922,5.541,128
1,55.1866,1.5598,1.3648,1777503937.015,5.39,128
1,49.7469,2.0242,1.7712,1777503937.085,5.553,128
1,23.3709,3.6332,3.1791,1777503937.152,5.438,128
1,25.9144,3.3787,2.9564,1777503937.239,5.678,128
1,17.8793,5.6613,4.9536,1777503937.26,5.458,128
1,178.0694,6.1724,5.4008,1777503937.439,5.364,128
2,10.2957,8.6737,7.5895,1777503938.164,5.51,128
2,22.3994,4.366,3.8202,1777503938.198,5.49,128
