step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
0,17.8773,5.2793,4.6194,1778561400.588,,
0,38.351,2.461,2.1533,1778561400.64,,
0,17.6746,5.3399,4.6724,1778561400.672,,
0,23.4653,4.0221,3.5193,1778561400.708,,
0,25.2642,3.7357,3.2688,1778561400.765,,
0,19.4234,4.8591,4.2517,1778561400.797,,
0,23.112,4.0836,3.5731,1778561400.848,,
0,24.6335,3.8314,3.3525,1778561400.893,,
0,14.2697,6.614,5.7873,1778561400.926,,
0,19.493,4.8417,4.2365,1778561400.98,,
0,23.6658,3.988,3.4895,1778561401.02,,
0,21.0184,4.4904,3.9291,1778561401.073,,
0,21.6734,4.3546,3.8103,1778561401.108,,
0,19.3135,4.8867,4.2759,1778561401.139,,
0,18.8661,5.0026,4.3773,1778561401.172,,
0,10.7854,8.7507,7.6569,1778561401.187,,
0,150.0648,7.0015,6.1263,1778561401.34,2.103,64
1,19.7779,4.772,4.1755,1778561410.84,,
1,21.0743,4.4784,3.9186,1778561410.875,,
1,19.1411,4.9308,4.3144,1778561410.908,,
1,5.6296,16.765,14.6693,1778561410.926,,
1,18.2077,5.1835,4.5356,1778561410.96,,
1,16.0524,5.8795,5.1445,1778561410.992,,
1,27.73,3.4035,2.9781,1778561411.044,,
1,16.0647,5.875,5.1406,1778561411.083,,
1,20.046,4.7082,4.1197,1778561411.117,,
1,12.1412,7.7735,6.8019,1778561411.157,,
1,23.597,3.9997,3.4997,1778561411.196,,
1,18.7488,5.0339,4.4047,1778561411.228,,
1,4.1081,22.9743,20.1025,1778561411.245,,
1,19.7583,4.7767,4.1796,1778561411.299,,
1,18.7883,5.0233,4.3954,1778561411.332,,
1,19.2847,4.894,4.2823,1778561411.353,,
1,114.6829,9.1616,8.0164,1778561411.47,7.224,64
2,28.1162,3.3568,2.9372,1778561412.08,,
2,23.5263,4.0117,3.5102,1778561412.12,,
2,27.1813,3.4722,3.0382,1778561412.16,,
2,18.4799,5.1072,4.4688,1778561412.192,,
2,5.4079,17.4523,15.2708,1778561412.209,,
2,26.5989,3.5483,3.1047,1778561412.259,,
2,38.115,2.4762,2.1667,1778561412.308,,
2,18.6215,5.0683,4.4348,1778561412.34,,
2,20.1259,4.6895,4.1033,1778561412.376,,
2,18.2331,5.1763,4.5293,1778561412.408,,
2,15.3933,6.1312,5.3648,1778561412.436,,
2,19.4254,4.8586,4.2513,1778561412.472,,
2,22.8752,4.1259,3.6101,1778561412.508,,
2,19.1149,4.9375,4.3203,1778561412.539,,
2,19.5012,4.8397,4.2347,1778561412.573,,
2,13.4393,7.0227,6.1449,1778561412.588,,
2,125.4771,8.3735,7.3268,1778561412.716,7.224,64
3,20.0902,4.6978,4.1106,1778561413.345,,
3,22.2388,4.2439,3.7134,1778561413.396,,
