step,latency_ms,algbw_GBs,busbw_GBs,timestamp,vram_used_gb,chunk_mb
0,25.6264,3.6829,3.2226,1778561621.907,,
0,27.154,3.4757,3.0413,1778561621.948,,
0,20.1635,4.6807,4.0956,1778561622.0,,
0,22.8441,4.1315,3.6151,1778561622.036,,
0,20.2172,4.6683,4.0848,1778561622.07,,
0,19.4318,4.857,4.2499,1778561622.104,,
0,19.0343,4.9584,4.3386,1778561622.136,,
0,4.7874,19.7143,17.25,1778561622.173,,
0,31.6246,2.9844,2.6113,1778561622.22,,
0,17.8507,5.2872,4.6263,1778561622.252,,
0,19.4595,4.8501,4.2438,1778561622.284,,
0,13.4356,7.0246,6.1465,1778561622.321,,
0,16.0616,5.8761,5.1416,1778561622.361,,
0,16.0145,5.8934,5.1567,1778561622.408,,
0,8.6645,10.8927,9.5311,1778561622.429,,
0,14.0903,6.6982,5.861,1778561622.445,,
0,120.383,8.7278,7.6368,1778561622.571,2.103,64
1,25.1403,3.7541,3.2849,1778561627.857,,
1,29.2556,3.2261,2.8228,1778561627.922,,
1,20.9351,4.5082,3.9447,1778561627.973,,
1,12.4735,7.5664,6.6206,1778561628.025,,
1,15.5503,6.0693,5.3107,1778561628.1,,
1,13.2456,7.1254,6.2347,1778561628.149,,
1,24.0153,3.93,3.4388,1778561628.211,,
1,12.1523,7.7664,6.7956,1778561628.256,,
1,15.9866,5.9037,5.1657,1778561628.292,,
1,31.9333,2.9555,2.5861,1778561628.36,,
1,20.093,4.6972,4.11,1778561628.412,,
1,17.1408,5.5062,4.8179,1778561628.461,,
1,24.5564,3.8434,3.363,1778561628.524,,
1,17.2046,5.4858,4.8,1778561628.569,,
1,14.0334,6.7254,5.8847,1778561628.625,,
1,24.7431,3.8144,3.3376,1778561628.672,,
1,124.209,8.4589,7.4016,1778561628.816,7.224,8
2,20.054,4.7063,4.118,1778561629.468,,
2,20.0827,4.6996,4.1121,1778561629.564,,
2,22.0279,4.2846,3.749,1778561629.614,,
2,24.3765,3.8718,3.3878,1778561629.673,,
2,12.2676,7.6934,6.7318,1778561629.713,,
2,23.7467,3.9745,3.4776,1778561629.78,,
2,21.8667,4.3161,3.7766,1778561629.846,,
2,17.3208,5.4489,4.7678,1778561629.901,,
2,11.5233,8.1904,7.1666,1778561629.96,,
2,23.5336,4.0104,3.5091,1778561630.032,,
2,27.1972,3.4702,3.0364,1778561630.128,,
2,30.841,3.0602,2.6777,1778561630.2,,
2,21.5808,4.3733,3.8267,1778561630.26,,
2,25.0661,3.7652,3.2946,1778561630.31,,
2,22.373,4.2185,3.6912,1778561630.382,,
2,34.7879,2.713,2.3739,1778561630.435,,
2,210.764,4.9851,4.362,1778561630.648,7.224,9
3,15.8527,5.9536,5.2094,1778561631.285,,
3,19.3793,4.8701,4.2614,1778561631.34,,
3,24.0169,3.9297,3.4385,1778561631.396,,
3,22.6384,4.169,3.6479,1778561631.456,,
3,32.269,2.9248,2.5592,1778561631.532,,
3,27.7084,3.4062,2.9804,1778561631.604,,
3,15.7486,5.9929,5.2438,1778561631.658,,
3,16.2312,5.8147,5.0879,1778561631.715,,
3,23.7446,3.9748,3.4779,1778561631.779,,
3,23.7132,3.9801,3.4826,1778561631.836,,
3,27.582,3.4218,2.9941,1778561631.892,,
3,19.105,4.9401,4.3226,1778561631.943,,
3,23.9544,3.94,3.4475,1778561632.028,,
3,31.3911,3.0066,2.6308,1778561632.088,,
3,21.5623,4.3771,3.8299,1778561632.14,,
3,34.948,2.7006,2.363,1778561632.195,,
3,134.2352,7.8271,6.8487,1778561632.345,7.224,11
4,4.8488,19.4646,17.0315,1778561633.028,,
4,23.0613,4.0926,3.581,1778561633.107,,
4,16.2248,5.817,5.0899,1778561633.164,,
4,19.8556,4.7533,4.1591,1778561633.216,,
4,22.0282,4.2845,3.749,1778561633.269,,
4,17.7824,5.3075,4.6441,1778561633.332,,
4,20.078,4.7007,4.1131,1778561633.396,,
4,21.254,4.4406,3.8855,1778561633.46,,
4,31.9333,2.9555,2.5861,1778561633.528,,
4,16.5647,5.6977,4.9855,1778561633.585,,
4,11.1252,8.4835,7.423,1778561633.626,,
4,19.2218,4.91,4.2963,1778561633.68,,
4,33.0482,2.8558,2.4988,1778561633.743,,
4,28.1301,3.3551,2.9357,1778561633.804,,
4,24.545,3.8452,3.3645,1778561633.852,,
4,38.2276,2.4689,2.1603,1778561633.892,,
4,149.1715,7.0434,6.163,1778561634.058,7.224,11
5,12.2141,7.7271,6.7612,1778561634.72,,
5,16.6593,5.6653,4.9571,1778561634.763,,
5,22.3604,4.2208,3.6932,1778561634.812,,
5,15.919,5.9288,5.1877,1778561634.868,,
5,24.7371,3.8153,3.3384,1778561634.926,,
5,27.0809,3.4851,3.0495,1778561634.988,,
5,20.1109,4.693,4.1063,1778561635.056,,
5,19.2428,4.9047,4.2916,1778561635.123,,
5,19.4192,4.8601,4.2526,1778561635.192,,
5,16.3263,5.7809,5.0583,1778561635.256,,
5,17.4054,5.4225,4.7447,1778561635.321,,
5,12.4703,7.5684,6.6223,1778561635.373,,
5,13.0141,7.2521,6.3456,1778561635.414,,
5,22.9815,4.1068,3.5934,1778561635.459,,
5,12.1068,7.7957,6.8212,1778561635.5,,
5,33.9301,2.7816,2.4339,1778561635.536,,
5,164.2057,6.3985,5.5987,1778561635.702,7.224,6
6,31.2501,3.0202,2.6426,1778561636.336,,
6,18.4386,5.1186,4.4788,1778561636.38,,
6,19.5055,4.8386,4.2338,1778561636.432,,
6,15.8075,5.9706,5.2243,1778561636.488,,
6,14.9008,6.3339,5.5421,1778561636.531,,
6,22.0679,4.2768,3.7422,1778561636.584,,
6,25.2436,3.7388,3.2714,1778561636.643,,
6,24.9357,3.7849,3.3118,1778561636.704,,
6,7.9836,11.8217,10.344,1778561636.766,,
6,11.5409,8.1779,7.1557,1778561636.82,,
6,32.4997,2.904,2.541,1778561636.884,,
6,27.2987,3.4573,3.0251,1778561636.948,,
6,13.8164,6.831,5.9771,1778561636.991,,
6,16.4213,5.7474,5.029,1778561637.033,,
6,23.165,4.0743,3.565,1778561637.088,,
6,19.6711,4.7979,4.1982,1778561637.124,,
6,137.0444,7.6667,6.7084,1778561637.263,7.224,6
7,20.455,4.614,4.0373,1778561637.889,,
7,11.1336,8.477,7.4174,1778561637.932,,
7,19.8641,4.7513,4.1574,1778561638.0,,
7,27.5903,3.4208,2.9932,1778561638.06,,
7,35.089,2.6897,2.3535,1778561638.133,,
7,18.7504,5.0335,4.4043,1778561638.192,,
7,24.134,3.9107,3.4218,1778561638.249,,
7,7.7531,12.1733,10.6516,1778561638.311,,
7,12.1601,7.7615,6.7913,1778561638.369,,
7,18.212,5.1823,4.5345,1778561638.415,,
7,15.6477,6.0315,5.2776,1778561638.472,,
7,27.6177,3.4174,2.9902,1778561638.532,,
7,19.1422,4.9305,4.3142,1778561638.581,,
7,15.6239,6.0408,5.2857,1778561638.632,,
7,23.942,3.942,3.4493,1778561638.696,,
