step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
0,0,baseline,21.871,26.3883,21.871,0.0,0.026544
0,1,baseline,23.7613,26.0097,23.7613,0.0,0.026225
0,2,baseline,22.4301,26.0096,22.4301,0.0,0.026326
0,3,baseline,22.4195,25.7667,22.4195,0.0,0.025907
1,0,baseline,21.8966,26.1521,21.8966,0.0,0.026264
1,1,baseline,24.1488,25.9823,24.1488,0.0,0.026164
1,2,baseline,22.6602,25.9369,22.6602,0.0,0.026087
1,3,baseline,22.9962,25.8412,22.9962,0.0,0.025954
2,0,baseline,21.5389,26.18,21.5389,0.0,0.026295
2,1,baseline,23.9119,25.9267,23.9119,0.0,0.026047
2,2,baseline,22.5392,26.1296,22.5392,0.0,0.026244
2,3,baseline,22.7729,25.6998,22.7729,0.0,0.025805
3,0,baseline,21.7515,26.3956,21.7515,0.0,0.026513
3,1,baseline,24.8851,26.0547,24.8851,0.0,0.026279
3,2,baseline,24.0611,26.062,24.0611,0.0,0.026169
3,3,baseline,24.3613,25.614,24.3613,0.0,0.025724
4,0,baseline,21.4462,26.4124,21.4462,0.0,0.026517
4,1,baseline,23.9465,26.2467,23.9465,0.0,0.026358
4,2,baseline,22.8833,25.9925,22.8833,0.0,0.026097
4,3,baseline,24.4027,25.7787,24.4027,0.0,0.025882
5,0,baseline,21.6044,26.1442,21.6044,0.0,0.026255
5,1,baseline,24.356,26.0187,24.356,0.0,0.026122
5,2,baseline,23.4118,25.998,23.4118,0.0,0.026108
5,3,baseline,25.224,25.8264,25.224,0.0,0.025929
6,0,baseline,21.3664,26.2317,21.3664,0.0,0.026349
6,1,baseline,24.8393,26.159,24.8393,0.0,0.026264
6,2,baseline,24.2568,26.0489,24.2568,0.0,0.026161
6,3,baseline,25.4921,25.8873,25.4921,0.0,0.025993
7,0,baseline,21.1112,26.3468,21.1112,0.0,0.026458
7,1,baseline,24.228,26.134,24.228,0.0,0.02624
7,2,baseline,23.5553,26.0836,23.5553,0.0,0.02619
7,3,baseline,25.4394,25.705,25.4394,0.0,0.025809
8,0,baseline,21.5621,26.2713,21.5621,0.0,0.026376
8,1,baseline,25.0736,26.1255,25.0736,0.0,0.026275
8,2,baseline,24.592,26.0888,24.592,0.0,0.026369
8,3,baseline,26.4084,25.2111,25.2111,0.0,0.026434
9,0,baseline,21.1504,26.2022,21.1504,0.0,0.026305
9,1,baseline,24.6652,26.0494,24.6652,0.0,0.026178
9,2,baseline,23.7589,26.12,23.7589,0.0,0.026246
9,3,baseline,26.0631,25.793,25.793,0.0,0.026088
10,0,baseline,21.4732,26.2045,21.4732,0.0,0.026315
10,1,baseline,25.4882,26.1506,25.4882,0.0,0.026369
10,2,baseline,24.6648,25.9165,24.6648,0.0,0.026033
10,3,baseline,26.365,25.6778,25.6778,0.0,0.026391
11,0,baseline,21.4992,26.1845,21.4992,0.0,0.026299
11,1,baseline,25.5422,25.9798,25.5422,0.0,0.026093
11,2,baseline,25.3061,26.0132,25.3061,0.0,0.026239
11,3,baseline,26.4628,25.6322,25.6322,0.0,0.026489
