step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
0,0,tempo,12.1017,20.3787,0.0,0.0,0.032537
0,1,tempo,11.9514,20.3763,0.0,0.0,0.032476
0,2,tempo,11.6122,20.3952,0.0,0.0,0.032066
0,3,tempo,12.1497,20.3855,0.0,0.0,0.032691
1,0,tempo,12.351,20.3958,0.0,0.0,0.032779
1,1,tempo,12.2802,20.3757,0.0,0.0,0.032698
1,2,tempo,12.247,20.3758,0.0,0.0,0.032658
1,3,tempo,11.9486,20.3776,0.0,0.0,0.032362
2,0,tempo,11.213,20.3771,0.0,0.0,0.031621
2,1,tempo,11.2645,20.3968,0.0,0.0,0.031692
2,2,tempo,11.9287,20.3757,0.0,0.0,0.032339
2,3,tempo,11.9081,20.3756,0.0,0.0,0.032323
3,0,tempo,12.1767,20.3756,0.0,0.0,0.032588
3,1,tempo,12.0711,20.3756,0.0,0.0,0.032478
3,2,tempo,11.6315,20.3942,0.0,0.0,0.032055
3,3,tempo,11.6123,20.3856,0.0,0.0,0.032039
4,0,tempo,12.3515,20.4762,0.0,0.0,0.032857
4,1,tempo,11.761,20.4212,0.0,0.0,0.032219
4,2,tempo,12.3495,20.395,0.0,0.0,0.032775
4,3,tempo,12.5565,20.3757,0.0,0.0,0.032965
5,0,tempo,13.0728,20.3852,0.0,0.0,0.03349
5,1,tempo,13.835,20.3756,0.0,0.0,0.034246
5,2,tempo,13.4972,20.4564,0.0,0.0,0.033987
5,3,tempo,12.7471,20.3956,0.0,0.0,0.033175
6,0,tempo,12.1213,20.376,0.0,0.0,0.032527
6,1,tempo,11.6161,20.3759,0.0,0.0,0.032025
6,2,tempo,11.5547,20.3945,0.0,0.0,0.031984
6,3,tempo,12.4872,20.3795,0.0,0.0,0.032903
7,0,tempo,13.1336,20.3995,0.0,0.0,0.033563
7,1,tempo,13.5792,20.3896,0.0,0.0,0.033998
7,2,tempo,12.7864,20.3899,0.0,0.0,0.033207
7,3,tempo,12.8117,20.3789,0.0,0.0,0.033229
8,0,tempo,12.3885,20.3764,0.0,0.0,0.032799
8,1,tempo,11.6691,20.3862,0.0,0.0,0.032087
8,2,tempo,12.6654,20.3956,0.0,0.0,0.033091
8,3,tempo,12.7041,20.3756,0.0,0.0,0.033115
9,0,tempo,12.7777,20.3757,0.0,0.0,0.033184
9,1,tempo,13.2016,20.3761,0.0,0.0,0.033612
9,2,tempo,12.8621,20.4131,0.0,0.0,0.03331
9,3,tempo,12.7717,20.3794,0.0,0.0,0.03318
10,0,tempo,12.8322,20.3954,0.0,0.0,0.03326
10,1,tempo,12.3834,20.4018,0.0,0.0,0.032817
10,2,tempo,12.7716,20.4002,0.0,0.0,0.033207
10,3,tempo,12.8528,20.3756,0.0,0.0,0.033262
11,0,tempo,11.6091,20.3756,0.0,0.0,0.032016
11,1,tempo,12.2705,20.3757,0.0,0.0,0.032675
11,2,tempo,11.9514,20.3759,0.0,0.0,0.032364
11,3,tempo,11.6132,20.3756,0.0,0.0,0.032026
12,0,tempo,11.7879,20.3976,0.0,0.0,0.032216
12,1,tempo,12.082,20.391,0.0,0.0,0.032508
12,2,tempo,12.2503,20.3802,0.0,0.0,0.032665
12,3,tempo,12.2976,20.3776,0.0,0.0,0.032714
13,0,tempo,12.5026,20.4103,0.0,0.0,0.03294
13,1,tempo,12.4447,20.4085,0.0,0.0,0.032886
13,2,tempo,12.4916,20.3759,0.0,0.0,0.032897
13,3,tempo,12.4793,20.3756,0.0,0.0,0.032887
14,0,tempo,12.5192,20.3931,0.0,0.0,0.032947
14,1,tempo,12.4708,20.3757,0.0,0.0,0.032875
14,2,tempo,12.2912,20.3758,0.0,0.0,0.032697
