timestamp,step,allreduce_latency_ms,allreduce_bw_gbs,io_flood_active,rank_is_flooder,nic_util_pct
0.3217,0,136.5046,3.6629,0,1,0.0
0.3464,1,24.0947,20.7514,0,1,0.0
0.3701,2,23.5001,21.2765,0,1,0.0
0.3945,3,24.0946,20.7515,0,1,0.0
0.4184,4,23.5702,21.2132,0,1,0.0
0.4422,5,23.367,21.3977,0,1,0.0
0.4668,6,24.1033,20.744,0,1,0.0
0.4905,7,23.6596,21.1331,0,1,0.0
0.5142,8,23.4474,21.3243,0,1,0.0
0.5386,9,24.0448,20.7945,0,1,0.0
0.5628,10,23.9334,20.8913,0,1,0.0
0.5867,11,23.4775,21.297,0,1,0.0
0.611,12,23.9732,20.8566,0,1,0.0
0.635,13,23.9361,20.889,0,1,0.0
0.6594,14,24.0507,20.7894,0,1,0.0
0.6832,15,23.4889,21.2866,0,1,0.0
0.7076,16,24.11,20.7383,0,1,0.0
0.732,17,24.0721,20.7709,0,1,0.0
0.7561,18,23.8103,20.9993,0,1,0.0
0.7804,19,23.9037,20.9172,0,1,0.0
0.8046,20,23.9411,20.8846,0,1,0.0
0.8282,21,23.3072,21.4526,0,1,0.0
0.8524,22,23.8935,20.9262,0,1,0.0
0.8767,23,23.9574,20.8704,0,1,0.0
0.9011,24,23.9856,20.8458,0,1,0.0
0.9252,25,23.7884,21.0187,0,1,0.0
0.949,26,23.5142,21.2637,0,1,0.0
0.9751,27,24.1576,20.6974,0,1,0.0
0.9992,28,23.8464,20.9675,0,1,0.0
1.0233,29,23.7569,21.0465,0,1,0.0
1.0482,30,24.3663,20.5201,0,1,0.0
1.0722,31,23.8741,20.9432,0,1,0.0
1.0962,32,23.6269,21.1623,0,1,0.0
1.1202,33,23.7562,21.0471,0,1,0.0
1.1444,34,23.868,20.9486,0,1,0.0
1.1684,35,23.6517,21.1401,0,1,0.0
1.1925,36,23.7838,21.0228,0,1,0.0
1.2167,37,23.8981,20.9222,0,1,0.0
1.2408,38,23.9653,20.8635,0,1,0.0
1.2649,39,23.7967,21.0113,0,1,0.0
1.289,40,23.8204,20.9904,0,1,0.0
1.3133,41,23.9939,20.8387,0,1,0.0
1.3376,42,23.9699,20.8595,0,1,0.0
1.3616,43,23.7538,21.0493,0,1,0.0
1.3856,44,23.6429,21.148,0,1,0.0
1.4098,45,23.9382,20.8871,0,1,0.0
1.4346,46,24.4537,20.4468,0,1,0.0
1.4589,47,24.0,20.8333,0,1,0.0
1.4834,48,24.1714,20.6856,0,1,0.0
1.5077,49,24.0299,20.8074,0,1,0.0
1.5316,50,23.6354,21.1547,0,1,0.0
1.5552,51,23.2903,21.4682,0,1,0.0
1.5795,52,23.9745,20.8555,0,1,0.0
1.6032,53,23.3683,21.3965,0,1,0.0
1.6275,54,23.9731,20.8567,0,1,0.0
1.6515,55,23.6383,21.1521,0,1,0.0
1.676,56,24.2331,20.6329,0,1,0.0
1.7,57,23.8663,20.9501,0,1,0.0
1.7237,58,23.3912,21.3756,0,1,0.0
1.7477,59,23.7433,21.0586,0,1,0.0
1.7718,60,23.7721,21.033,0,1,0.0
1.7961,61,23.9717,20.858,0,1,0.0
1.8201,62,23.7171,21.0819,0,1,0.0
1.844,63,23.7831,21.0233,0,1,0.0
1.8684,64,24.0363,20.8019,0,1,0.0
1.8928,65,23.9854,20.846,0,1,0.0
1.9168,66,23.6866,21.109,0,1,0.0
1.9411,67,23.9897,20.8423,0,1,0.0
1.9653,68,23.8923,20.9272,0,1,0.0
1.9894,69,23.8004,21.0081,0,1,0.0
2.013,70,23.3378,21.4244,0,1,0.0
2.0368,71,23.405,21.363,0,1,0.0
2.0609,72,23.8047,21.0042,0,1,0.0
2.085,73,23.7424,21.0593,0,1,0.0
2.1087,74,23.445,21.3265,0,1,0.0
2.1325,75,23.4748,21.2995,0,1,0.0
2.1566,76,23.7643,21.04,0,1,0.0
2.1803,77,23.4328,21.3376,0,1,0.0
2.2041,78,23.4786,21.296,0,1,0.0
2.2281,79,23.6563,21.136,0,1,0.0
2.2527,80,24.3168,20.5619,0,1,0.0
