step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
0,0,baseline,21.8349,26.2322,21.8349,0.0,0.02636
0,1,baseline,25.2805,26.3965,25.2805,0.0,0.02652
0,2,baseline,26.8416,25.8548,25.8548,0.0,0.026921
0,3,baseline,25.2589,25.7763,25.2589,0.0,0.026019
1,0,baseline,21.9178,26.2029,21.9178,0.0,0.026312
1,1,baseline,24.9948,26.3607,24.9948,0.0,0.026479
1,2,baseline,26.252,25.9483,25.9483,0.0,0.026282
1,3,baseline,25.727,25.8934,25.727,0.0,0.026058
2,0,baseline,21.5018,26.2634,21.5018,0.0,0.026371
2,1,baseline,25.0588,26.1098,25.0588,0.0,0.026221
2,2,baseline,26.5285,26.053,26.053,0.0,0.026557
2,3,baseline,25.8158,25.5991,25.5991,0.0,0.025846
3,0,baseline,21.563,26.2504,21.563,0.0,0.026354
3,1,baseline,25.1078,26.0709,25.1078,0.0,0.026203
3,2,baseline,25.919,26.0027,25.919,0.0,0.026115
3,3,baseline,26.0448,25.7524,25.7524,0.0,0.026071
4,0,baseline,21.6363,26.2623,21.6363,0.0,0.026368
4,1,baseline,25.3898,26.2028,25.3898,0.0,0.026308
4,2,baseline,26.6062,25.9913,25.9913,0.0,0.026632
4,3,baseline,26.4852,25.5408,25.5408,0.0,0.026511
5,0,baseline,21.7131,26.1957,21.7131,0.0,0.026303
5,1,baseline,25.5999,26.0692,25.5999,0.0,0.026178
5,2,baseline,26.2232,25.9074,25.9074,0.0,0.026249
5,3,baseline,26.2603,25.394,25.394,0.0,0.026287
6,0,baseline,21.4467,26.2552,21.4467,0.0,0.026372
6,1,baseline,25.1874,26.2509,25.1874,0.0,0.026366
6,2,baseline,25.8251,26.1396,25.8251,0.0,0.026247
6,3,baseline,26.3656,25.7553,25.7553,0.0,0.0264
7,0,baseline,21.5763,26.2917,21.5763,0.0,0.026422
7,1,baseline,25.5304,26.1746,25.5304,0.0,0.026289
7,2,baseline,26.5065,26.1786,26.1786,0.0,0.026533
7,3,baseline,25.9987,25.8166,25.8166,0.0,0.026027
8,0,baseline,21.4229,26.2453,21.4229,0.0,0.02635
8,1,baseline,25.8498,26.0987,25.8498,0.0,0.026202
8,2,baseline,26.551,25.8562,25.8562,0.0,0.026576
8,3,baseline,26.0151,25.472,25.472,0.0,0.026041
9,0,baseline,20.9412,26.4139,20.9412,0.0,0.026518
9,1,baseline,25.2395,26.1679,25.2395,0.0,0.026276
9,2,baseline,25.5894,26.1652,25.5894,0.0,0.026275
