step,rank,mode,allreduce_ms,dma_ms,overlap_ms,stall_ms,wall_s
0,0,tempo,12.7181,20.3951,0.0,0.0,0.033169
0,1,tempo,12.7429,20.3788,0.0,0.0,0.033259
0,2,tempo,13.0028,20.3789,0.0,0.0,0.033429
0,3,tempo,12.7134,20.3767,0.0,0.0,0.033138
1,0,tempo,12.5255,20.4149,0.0,0.0,0.032979
1,1,tempo,12.2126,20.3755,0.0,0.0,0.032623
1,2,tempo,12.1627,20.3908,0.0,0.0,0.032591
1,3,tempo,12.7982,20.3759,0.0,0.0,0.033209
2,0,tempo,11.5851,20.4138,0.0,0.0,0.03203
2,1,tempo,12.1183,20.4385,0.0,0.0,0.032588
2,2,tempo,12.3673,20.4276,0.0,0.0,0.03283
2,3,tempo,11.7031,20.3755,0.0,0.0,0.032109
3,0,tempo,12.8949,20.4419,0.0,0.0,0.033367
3,1,tempo,12.8898,20.3802,0.0,0.0,0.033303
3,2,tempo,12.8731,20.3764,0.0,0.0,0.033285
3,3,tempo,12.9289,20.4249,0.0,0.0,0.033384
4,0,tempo,12.7687,20.4036,0.0,0.0,0.033203
4,1,tempo,12.7223,20.3756,0.0,0.0,0.033128
4,2,tempo,12.6725,20.3755,0.0,0.0,0.033076
4,3,tempo,12.4071,20.3756,0.0,0.0,0.03282
5,0,tempo,12.607,20.3905,0.0,0.0,0.033033
5,1,tempo,12.5562,20.3872,0.0,0.0,0.032978
5,2,tempo,12.7269,20.3756,0.0,0.0,0.033132
5,3,tempo,13.3963,20.3756,0.0,0.0,0.033801
6,0,tempo,12.2955,20.3973,0.0,0.0,0.03273
6,1,tempo,12.1856,20.3776,0.0,0.0,0.032598
6,2,tempo,11.668,20.3755,0.0,0.0,0.032077
6,3,tempo,11.5167,20.3758,0.0,0.0,0.031928
7,0,tempo,12.0101,20.3757,0.0,0.0,0.032421
7,1,tempo,11.968,20.3754,0.0,0.0,0.032379
7,2,tempo,12.0038,20.3755,0.0,0.0,0.032413
7,3,tempo,12.3004,20.399,0.0,0.0,0.032732
8,0,tempo,13.0535,20.3757,0.0,0.0,0.033465
8,1,tempo,13.0477,20.3757,0.0,0.0,0.033455
8,2,tempo,12.7501,20.3938,0.0,0.0,0.033175
8,3,tempo,12.9591,20.3756,0.0,0.0,0.03337
9,0,tempo,12.7004,20.3948,0.0,0.0,0.033132
9,1,tempo,12.7235,20.3761,0.0,0.0,0.033137
9,2,tempo,12.8296,20.3988,0.0,0.0,0.033257
9,3,tempo,12.7726,20.3757,0.0,0.0,0.033184
10,0,tempo,12.458,20.3754,0.0,0.0,0.032866
10,1,tempo,11.9948,20.3755,0.0,0.0,0.032407
10,2,tempo,12.6166,20.3929,0.0,0.0,0.033038
10,3,tempo,12.5935,20.3756,0.0,0.0,0.033
11,0,tempo,11.7992,20.426,0.0,0.0,0.032263
11,1,tempo,12.7407,20.3754,0.0,0.0,0.033151
11,2,tempo,12.5961,20.3754,0.0,0.0,0.032999
11,3,tempo,11.7083,20.3757,0.0,0.0,0.032117
12,0,tempo,12.407,20.38,0.0,0.0,0.032823
12,1,tempo,11.7473,20.3755,0.0,0.0,0.032155
12,2,tempo,11.7355,20.3793,0.0,0.0,0.032144
12,3,tempo,12.5337,20.3755,0.0,0.0,0.032944
13,0,tempo,11.6371,20.4532,0.0,0.0,0.03212
13,1,tempo,11.639,20.4002,0.0,0.0,0.032078
13,2,tempo,11.3825,20.3934,0.0,0.0,0.031805
13,3,tempo,11.5843,20.3756,0.0,0.0,0.03199
14,0,tempo,12.8509,20.3758,0.0,0.0,0.033265
14,1,tempo,12.6728,20.3754,0.0,0.0,0.033078
14,2,tempo,13.0243,20.475,0.0,0.0,0.033532
14,3,tempo,12.9779,20.4072,0.0,0.0,0.033423
15,0,tempo,13.3357,20.4167,0.0,0.0,0.033786
15,1,tempo,14.1994,20.3878,0.0,0.0,0.034617
15,2,tempo,14.1844,20.3755,0.0,0.0,0.034594
