step,latency_ms,algbw_GBs,busbw_GBs,timestamp
0,17.4476,5.4093,4.7332,1777503929.754
0,43.0592,2.1919,1.9179,1777503929.812
0,14.3939,6.557,5.7373,1777503929.843
0,20.4118,4.6238,4.0458,1777503929.89
0,20.0878,4.6984,4.1111,1777503929.936
0,20.7534,4.5477,3.9792,1777503929.976
0,20.9987,4.4946,3.9327,1777503930.012
0,16.8193,5.6114,4.91,1777503930.041
0,13.7286,6.8747,6.0154,1777503930.091
0,23.9958,3.9332,3.4415,1777503930.13
0,16.5677,5.6966,4.9845,1777503930.161
0,10.2479,9.2097,8.0585,1777503930.186
0,28.6511,3.2941,2.8823,1777503930.232
0,5.866,16.0894,14.0782,1777503930.25
0,21.4329,4.4035,3.8531,1777503930.288
0,18.1132,5.2106,4.5593,1777503930.308
0,148.4321,7.0785,6.1937,1777503930.458
1,12.5793,7.5028,6.565,1777503936.12
1,23.773,3.9701,3.4738,1777503936.184
1,13.3896,7.0488,6.1677,1777503936.224
1,84.1165,1.122,0.9818,1777503936.378
1,23.9888,3.9343,3.4425,1777503936.436
1,58.5083,1.6131,1.4115,1777503936.542
1,7.9267,11.9066,10.4182,1777503936.604
1,21.9689,4.2961,3.7591,1777503936.684
1,35.0769,2.6907,2.3543,1777503936.773
1,10.5658,8.9326,7.816,1777503936.857
1,12.6091,7.4851,6.5494,1777503936.922
1,54.6347,1.7275,1.5115,1777503937.015
1,49.2494,1.9164,1.6768,1777503937.085
1,23.1372,4.0791,3.5693,1777503937.152
1,25.6553,3.6788,3.2189,1777503937.239
1,17.7005,5.332,4.6655,1777503937.26
1,176.2887,5.96,5.215,1777503937.439
2,10.1927,9.2596,8.1021,1777503938.164
2,22.1754,4.2561,3.7241,1777503938.198
2,15.7986,5.974,5.2272,1777503938.264
2,13.012,7.2533,6.3466,1777503938.296
2,15.1543,6.2279,5.4494,1777503938.417
2,10.2506,9.2073,8.0564,1777503938.458
2,19.7133,4.7876,4.1892,1777503938.512
2,92.1446,1.0243,0.8962,1777503938.668
2,15.0709,6.2624,5.4796,1777503938.72
2,19.9954,4.7201,4.1301,1777503938.773
2,67.6821,1.3945,1.2202,1777503938.898
2,14.4147,6.5475,5.7291,1777503938.957
